Entry	Info			Status	Organism	Organism ID
A0A1K1RKZ3	E-value: 84E-96;	Score: 755;	Ident.: 48.0%		unreviewed	Amycolatopsis australiensis	546364
Q9Z4X7	E-value: 98E-96;	Score: 756;	Ident.: 48.6%		unreviewed	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	100226
W9CUP1	E-value: 120E-96;	Score: 754;	Ident.: 46.1%		unreviewed	Frankia sp. CcI6	1352929
A0A062WQG3	E-value: 120E-96;	Score: 754;	Ident.: 46.1%		unreviewed	Frankia sp. BMG5.23	683305
A0A1X1MHP4	E-value: 120E-96;	Score: 754;	Ident.: 46.1%		unreviewed	Frankia sp. KB5	683318
Q2JA71	E-value: 120E-96;	Score: 754;	Ident.: 46.1%		unreviewed	Frankia casuarinae (strain DSM 45818 / CECT 9043 / CcI3)	106370
A0A1M4EA81	E-value: 170E-96;	Score: 753;	Ident.: 46.0%		unreviewed	Nonomuraea gerenzanensis	93944
A0A1C6V055	E-value: 170E-96;	Score: 753;	Ident.: 47.3%		unreviewed	Micromonospora eburnea	227316
C7Q7H0	E-value: 250E-96;	Score: 753;	Ident.: 47.3%		unreviewed	Catenulispora acidiphila (strain DSM 44928 / NRRL B-24433 / NBRC 102108 / JCM 14897)	479433
A0A1I5P5Y4	E-value: 360E-96;	Score: 751;	Ident.: 48.4%		unreviewed	Actinomadura madurae	1993
A0A2X0UNU6	E-value: 360E-96;	Score: 751;	Ident.: 48.4%		unreviewed	Actinomadura madurae	1993
A0A2P4UIT4	E-value: 2.6E-93;	Score: 745;	Ident.: 45.8%		unreviewed	Actinomadura sp. 5-2	1926885
Q06Z04	E-value: 5.6E-93;	Score: 743;	Ident.: 45.5%		unreviewed	Streptomyces fungicidicus	68203
A0A1L9DG05	E-value: 13E-93;	Score: 742;	Ident.: 47.2%		unreviewed	Streptomyces viridifaciens	48665
A0A1E7N7I6	E-value: 13E-93;	Score: 742;	Ident.: 47.2%		unreviewed	Kitasatospora aureofaciens (Streptomyces aureofaciens)	1894
A0A1Q5L350	E-value: 27E-93;	Score: 740;	Ident.: 43.8%		unreviewed	Streptomyces sp. CB02400	1703944
A0A1H8EIW1	E-value: 43E-93;	Score: 738;	Ident.: 44.9%		unreviewed	Streptomyces rubidus	310780
A0A1X1PSQ1	E-value: 61E-93;	Score: 736;	Ident.: 45.3%		unreviewed	Frankia casuarinae (strain DSM 45818 / CECT 9043 / CcI3)	106370
A0A2M8XAD6	E-value: 70E-93;	Score: 736;	Ident.: 45.5%		unreviewed	Streptomyces sp. 2333.5	1938842
A0A2G6XL83	E-value: 160E-93;	Score: 734;	Ident.: 46.8%		unreviewed	Micromonospora sp. CNZ299	2035244
A0A1Q4Y3P4	E-value: 190E-93;	Score: 734;	Ident.: 45.4%		unreviewed	Streptomyces sp. CB03911	1804758
A0A1C5I1R8	E-value: 220E-93;	Score: 733;	Ident.: 46.8%		unreviewed	Micromonospora zamorensis	709883
A0A286I6J4	E-value: 280E-93;	Score: 732;	Ident.: 45.2%		unreviewed	Streptomyces sp. 2323.1	1938841
A0A101NVB6	E-value: 290E-93;	Score: 732;	Ident.: 46.6%		unreviewed	Streptomyces yokosukanensis	67386
A0A2K2RC43	E-value: 310E-93;	Score: 733;	Ident.: 42.7%		unreviewed	Streptomyces sp. DH-12	2072509
A0A1M7I460	E-value: 430E-93;	Score: 731;	Ident.: 46.2%		unreviewed	Streptomyces paucisporeus	310782
A0A1R1S9Q9	E-value: 510E-93;	Score: 732;	Ident.: 45.4%		unreviewed	Streptomyces sparsogenes DSM 40356	1331668
A0A0Q8PXB5	E-value: 540E-93;	Score: 729;	Ident.: 46.8%		unreviewed	Kitasatospora sp. Root187	1736486
A0A0A0MNY3	E-value: 660E-93;	Score: 729;	Ident.: 45.0%		unreviewed	Actinoplanes sp. ATCC 53533	1288362
J1RZJ4	E-value: 820E-93;	Score: 728;	Ident.: 46.5%		unreviewed	Streptomyces auratus AGR0001	1160718
A0A0U3TYT7	E-value: 1.1E-90;	Score: 728;	Ident.: 48.0%		unreviewed	Streptomyces rochei (Streptomyces parvullus)	1928
A0A1H4M839	E-value: 1.1E-90;	Score: 728;	Ident.: 45.2%		unreviewed	Streptomyces sp. 2314.4	1881025
A0A193BY56	E-value: 2.1E-90;	Score: 726;	Ident.: 45.1%		unreviewed	Amycolatopsis orientalis (Nocardia orientalis)	31958
A0A2T7MHM6	E-value: 2.1E-90;	Score: 726;	Ident.: 48.0%		unreviewed	Streptomyces sp. CS207	2162712
A0A1C4VP61	E-value: 3.6E-90;	Score: 725;	Ident.: 46.5%		unreviewed	Micromonospora saelicesensis	285676
I2NBY8	E-value: 4.2E-90;	Score: 724;	Ident.: 46.2%		unreviewed	Streptomyces tsukubensis (strain DSM 42081 / NBRC 108919 / NRRL 18488 / 9993)	1114943
A0A151DL56	E-value: 4.2E-90;	Score: 724;	Ident.: 48.0%		unreviewed	Streptomyces sp. CC71	1770211
A0A1C4Y1U1	E-value: 5.1E-90;	Score: 724;	Ident.: 46.8%		unreviewed	Micromonospora chokoriensis	356851
A0A0A6D7P2	E-value: 26E-90;	Score: 718;	Ident.: 45.4%		unreviewed	Pseudomonas chlororaphis	587753
A0A328P2D4	E-value: 29E-90;	Score: 719;	Ident.: 46.2%		unreviewed	Micromonospora saelicesensis	285676
A0A2L0MWK1	E-value: 54E-90;	Score: 718;	Ident.: 47.8%		unreviewed	Streptomyces sp. CB01881	2078691
A0A1Q4W0E6	E-value: 61E-90;	Score: 717;	Ident.: 46.4%		unreviewed	Streptomyces sp. CB02056	1703924
A0A0F2TBJ0	E-value: 96E-90;	Score: 712;	Ident.: 48.2%		unreviewed	Streptomyces rubellomurinus (strain ATCC 31215)	359131
A0A0P9TYX3	E-value: 140E-90;	Score: 713;	Ident.: 43.9%		unreviewed	Pseudomonas syringae pv. daphniphylli	264455
A0A0F2SUC8	E-value: 380E-90;	Score: 708;	Ident.: 47.9%		unreviewed	Streptomyces rubellomurinus subsp. indigoferus	1615590
A0A0M7QIE6	E-value: 500E-90;	Score: 712;	Ident.: 41.0%		unreviewed	Streptomyces venezuelae	54571
A0A1Q4VTY8	E-value: 560E-90;	Score: 710;	Ident.: 45.1%		unreviewed	Streptomyces sp. CB02923	1718985
A0A0C1WW86	E-value: 720E-90;	Score: 709;	Ident.: 45.8%		unreviewed	Streptomyces sp. AcH 505	352211
A0A143C8V5	E-value: 770E-90;	Score: 709;	Ident.: 46.8%		unreviewed	Streptomyces sp. S10(2016)	1783515
A0A330KXG9	E-value: 820E-90;	Score: 708;	Ident.: 43.9%		unreviewed	Pseudomonas syringae group genomosp. 3	251701
A0A2S3TB75	E-value: 820E-90;	Score: 708;	Ident.: 43.9%		unreviewed	Pseudomonas avellanae	46257
A0A0P9KEV3	E-value: 820E-90;	Score: 708;	Ident.: 43.9%		unreviewed	Pseudomonas syringae pv. berberidis	251704
A0A0Q0DVV3	E-value: 820E-90;	Score: 708;	Ident.: 43.9%		unreviewed	Pseudomonas amygdali pv. ulmi	251720
A0A1H1WRE8	E-value: 820E-90;	Score: 707;	Ident.: 45.5%		unreviewed	Streptomyces sp. TLI_053	1855352
A0A0Q8PQX0	E-value: 1.3E-87;	Score: 705;	Ident.: 47.1%		unreviewed	Kitasatospora sp. Root187	1736486
A0A328N178	E-value: 1.9E-87;	Score: 707;	Ident.: 45.7%		unreviewed	Micromonospora noduli	709876
A0A0Q0ERH2	E-value: 3.3E-87;	Score: 704;	Ident.: 43.6%		unreviewed	Pseudomonas syringae pv. theae	103985
A0A2V4NHM8	E-value: 3.9E-87;	Score: 702;	Ident.: 45.5%		unreviewed	Streptomyces tateyamensis	565073
A0A2V0QQ94	E-value: 4.6E-87;	Score: 703;	Ident.: 43.6%		unreviewed	Pseudomonas syringae pv. actinidiae	103796
A0A0F4JBB1	E-value: 4.7E-87;	Score: 702;	Ident.: 44.6%		unreviewed	Streptomyces sp. NRRL S-495	1609133
A0A0M8UG28	E-value: 4.7E-87;	Score: 702;	Ident.: 44.6%		unreviewed	Streptomyces sp. XY431	1415562
S5TN34	E-value: 11E-87;	Score: 701;	Ident.: 44.8%		unreviewed	uncultured bacterium esnapd16.1	1366596
A0A0P9U1R8	E-value: 13E-87;	Score: 700;	Ident.: 43.2%		unreviewed	Pseudomonas syringae pv. helianthi	251654
A0A285QCF3	E-value: 21E-87;	Score: 697;	Ident.: 50.3%		unreviewed	Streptomyces sp. 1331.2	1938835
E4N284	E-value: 23E-87;	Score: 697;	Ident.: 46.5%		unreviewed	Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae)	452652
A0A286E0K9	E-value: 32E-87;	Score: 699;	Ident.: 45.7%		unreviewed	Streptomyces zhaozhouensis	1300267
A0A2G7DZD2	E-value: 34E-87;	Score: 698;	Ident.: 45.6%		unreviewed	Streptomyces sp. 1	492776
A0A291QIK3	E-value: 38E-87;	Score: 698;	Ident.: 45.3%		unreviewed	Streptomyces formicae	1616117
A0A221P6W4	E-value: 45E-87;	Score: 695;	Ident.: 46.6%		unreviewed	Streptomyces pluripotens	1355015
A0A0N0VKG3	E-value: 79E-87;	Score: 695;	Ident.: 43.1%		unreviewed	Pseudomonas fuscovaginae	50340
A8M4U2	E-value: 100E-87;	Score: 696;	Ident.: 45.7%		unreviewed	Salinispora arenicola (strain CNS-205)	391037
A0A2T7KP10	E-value: 250E-87;	Score: 693;	Ident.: 43.8%		unreviewed	Streptomyces sp. CS014	2162707
A4X7T6	E-value: 370E-87;	Score: 694;	Ident.: 44.7%		unreviewed	Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / CNB-440)	369723
E9L1T7	E-value: 490E-87;	Score: 690;	Ident.: 43.5%		unreviewed	uncultured organism CA915	941422
A0A2N7T4W4	E-value: 1.3E-84;	Score: 687;	Ident.: 43.8%		unreviewed	Verrucosispora sp. ts21	2069341
E4N2V8	E-value: 1.9E-84;	Score: 684;	Ident.: 46.3%		unreviewed	Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae)	452652
A0A160P9L2	E-value: 8.7E-84;	Score: 681;	Ident.: 44.3%		unreviewed	Streptomyces laurentii	39478
A0A097CRU2	E-value: 8.7E-84;	Score: 681;	Ident.: 43.8%		unreviewed	Verrucosispora sp. MS100047	1410949
F4F5Y7	E-value: 10E-84;	Score: 681;	Ident.: 43.8%		unreviewed	Verrucosispora maris (strain AB-18-032)	263358
A0A2M9LE40	E-value: 31E-84;	Score: 676;	Ident.: 50.3%		unreviewed	Kitasatospora sp. CB02891	2020329
A0A1E5PIF4	E-value: 64E-84;	Score: 677;	Ident.: 43.6%		unreviewed	Streptomyces agglomeratus	285458
A0A1H4PY89	E-value: 74E-84;	Score: 675;	Ident.: 43.7%		unreviewed	Streptomyces melanosporofaciens	67327
A0A066YMF4	E-value: 82E-84;	Score: 673;	Ident.: 49.7%		unreviewed	Kitasatospora cheerisanensis KCTC 2395	1348663
A0A1Q5EMG0	E-value: 120E-84;	Score: 672;	Ident.: 49.4%		unreviewed	Kitasatospora sp. CB01950	1703930
A0A2M9LEH1	E-value: 140E-84;	Score: 672;	Ident.: 45.1%		unreviewed	Kitasatospora sp. CB02891	2020329
A0A1Q4X887	E-value: 180E-84;	Score: 671;	Ident.: 48.7%		unreviewed	Streptomyces sp. CB03911	1804758
A0A014M928	E-value: 260E-84;	Score: 671;	Ident.: 42.9%		unreviewed	Streptomyces sp. PRh5	1158056
A0A0X3X8V4	E-value: 300E-84;	Score: 671;	Ident.: 43.4%		unreviewed	Streptomyces violaceusniger	68280
A0A060ZRS9	E-value: 590E-84;	Score: 669;	Ident.: 43.5%		unreviewed	Streptomyces iranensis	576784
A0A0A0NII5	E-value: 840E-84;	Score: 668;	Ident.: 43.2%		unreviewed	Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994) (Streptomyces hygroscopicus (strain ATCC 29253))	1343740
A0A0D0P187	E-value: 960E-84;	Score: 666;	Ident.: 49.7%		unreviewed	Kitasatospora griseola (Streptomyces griseolosporeus)	2064
A0A066YTM8	E-value: 1.1E-81;	Score: 666;	Ident.: 44.8%		unreviewed	Kitasatospora cheerisanensis KCTC 2395	1348663
A0A0D0Q2T0	E-value: 1.6E-81;	Score: 665;	Ident.: 44.5%		unreviewed	Kitasatospora griseola (Streptomyces griseolosporeus)	2064
A0A1Q4Z9Z7	E-value: 27E-81;	Score: 657;	Ident.: 43.1%		unreviewed	Streptomyces sp. TSRI0281	1718998
A0A2Z5J663	E-value: 29E-81;	Score: 657;	Ident.: 43.3%		unreviewed	Streptomyces atratus	1893
A0A0Q7HUH4	E-value: 39E-81;	Score: 657;	Ident.: 42.8%		unreviewed	Streptomyces sp. Root1295	1736448
A0A2N0EKH8	E-value: 39E-81;	Score: 657;	Ident.: 42.6%		unreviewed	Streptomyces sp. 4121.5	1938847
A0A0Q8ESW2	E-value: 39E-81;	Score: 657;	Ident.: 42.8%		unreviewed	Streptomyces sp. Root63	1736573
A0A2T4N8T3	E-value: 44E-81;	Score: 656;	Ident.: 43.1%		unreviewed	Streptomyces sp. A244	2137016
G2PAR6	E-value: 55E-81;	Score: 658;	Ident.: 42.6%		unreviewed	Streptomyces violaceusniger Tu 4113	653045
A0A2P8AQ98	E-value: 59E-81;	Score: 655;	Ident.: 43.4%		unreviewed	Micromonospora sp. MH33	1945509
A0A327TQY6	E-value: 64E-81;	Score: 656;	Ident.: 43.1%		unreviewed	Kitasatospora sp. SolWspMP-SS2h	1305729
A0A1M7AQL7	E-value: 65E-81;	Score: 657;	Ident.: 42.1%		unreviewed	Streptomyces yunnanensis	156453
A0A1C5BTG3	E-value: 67E-81;	Score: 655;	Ident.: 42.2%		unreviewed	Streptomyces sp. Ncost-T6T-2b	1839773
A0A1Q5C9D0	E-value: 73E-81;	Score: 655;	Ident.: 42.9%		unreviewed	Streptomyces sp. TSRI0395	1703923
A0A0A8EYB8	E-value: 92E-81;	Score: 656;	Ident.: 42.1%		unreviewed	Streptomyces sp. 769	1262452
A0A2V2ARL1	E-value: 120E-81;	Score: 653;	Ident.: 42.4%		unreviewed	Streptomyces sp. CG 926	1882405
A0A1B9EJB1	E-value: 130E-81;	Score: 653;	Ident.: 42.1%		unreviewed	Streptomyces sp. PTY087I2	1819298
C4RDV5	E-value: 130E-81;	Score: 646;	Ident.: 57.3%		unreviewed	Micromonospora sp. ATCC 39149	219305
A0A0F4JK49	E-value: 170E-81;	Score: 652;	Ident.: 42.0%		unreviewed	Streptomyces sp. NRRL S-495	1609133
A0A1C6TWN3	E-value: 170E-81;	Score: 652;	Ident.: 43.0%		unreviewed	Micromonospora chersina	47854
A0A2G7DXA9	E-value: 200E-81;	Score: 651;	Ident.: 44.2%		unreviewed	Streptomyces sp. 1	492776
A0A2N3UV23	E-value: 240E-81;	Score: 651;	Ident.: 41.0%		unreviewed	Streptomyces sp. GP55	1798190
A0A1B2H4F9	E-value: 260E-81;	Score: 653;	Ident.: 42.1%		unreviewed	Streptomyces noursei ATCC 11455	316284
A0A2N8PH75	E-value: 260E-81;	Score: 653;	Ident.: 42.1%		unreviewed	Streptomyces noursei	1971
A0A0M8U344	E-value: 330E-81;	Score: 650;	Ident.: 42.0%		unreviewed	Streptomyces sp. XY431	1415562
A0A059VP14	E-value: 520E-81;	Score: 651;	Ident.: 41.9%		unreviewed	Streptomyces albulus	68570
A0A1Q5F632	E-value: 1.1E-78;	Score: 646;	Ident.: 44.0%		unreviewed	Kitasatospora sp. CB01950	1703930
A0A2P2GWC4	E-value: 1.3E-78;	Score: 646;	Ident.: 41.1%		unreviewed	Streptomyces showdoensis	68268
A0A143BV24	E-value: 4.0E-78;	Score: 643;	Ident.: 42.8%		unreviewed	Streptomyces sp. S10(2016)	1783515
A0A1Q5DAT8	E-value: 5.3E-78;	Score: 642;	Ident.: 42.1%		unreviewed	Kitasatospora sp. CB01950	1703930
A0A2M9M480	E-value: 5.8E-78;	Score: 644;	Ident.: 42.4%		unreviewed	Streptomyces sp. CB02959	2020330
A0A1H2ADY4	E-value: 40E-78;	Score: 636;	Ident.: 42.7%		unreviewed	Streptomyces sp. TLI_053	1855352
A0A1Q5EYY3	E-value: 41E-78;	Score: 636;	Ident.: 44.3%		unreviewed	Streptomyces sp. TSRI0261	1703931
A0A1Q8UIJ0	E-value: 41E-78;	Score: 636;	Ident.: 43.4%		unreviewed	Streptomyces sp. MNU77	1573406
A0A1L9BBF3	E-value: 69E-78;	Score: 636;	Ident.: 40.2%		unreviewed	Cystobacter ferrugineus	83449
A0A1V2QNJ5	E-value: 81E-78;	Score: 635;	Ident.: 41.1%		unreviewed	Saccharothrix sp. ALI-22-I	1933778
A0A101MZV3	E-value: 90E-78;	Score: 634;	Ident.: 42.0%		unreviewed	Streptomyces pseudovenezuelae	67350
A0A1R0LLQ0	E-value: 95E-78;	Score: 636;	Ident.: 41.6%		unreviewed	Streptomyces sp. IMTB 2501	1776340
A0A1C6V2R3	E-value: 120E-78;	Score: 633;	Ident.: 42.4%		unreviewed	Micromonospora eburnea	227316
A0A0N0NE32	E-value: 140E-78;	Score: 633;	Ident.: 40.9%		unreviewed	Actinobacteria bacterium OK074	1592327
A0A2T0JLX9	E-value: 200E-78;	Score: 630;	Ident.: 42.2%		unreviewed	Actinoplanes italicus	113567
A0A209CV34	E-value: 1.3E-75;	Score: 626;	Ident.: 43.1%		unreviewed	Streptomyces sp. CS057	1982764
A0A0B5I6V8	E-value: 3.8E-75;	Score: 623;	Ident.: 39.8%		unreviewed	Streptomyces vietnamensis	362257
A0A0G2ZQV9	E-value: 7.6E-75;	Score: 623;	Ident.: 41.0%		unreviewed	Archangium gephyra	48
A0A2R4JT95	E-value: 1.4E-72;	Score: 606;	Ident.: 40.5%		unreviewed	Streptomyces sp. P3	2135430
A0A1Q3HA65	E-value: 1.4E-72;	Score: 608;	Ident.: 40.9%		unreviewed	Archangium sp. Cb G35	1920190
A0A1C5A4X5	E-value: 2.5E-72;	Score: 604;	Ident.: 42.2%		unreviewed	Micromonospora matsumotoense	121616
A0A1C5ERM8	E-value: 2.8E-72;	Score: 604;	Ident.: 41.6%		unreviewed	Streptomyces sp. Ncost-T10-10d	1839774
A0A1Q7LSC9	E-value: 3.8E-72;	Score: 605;	Ident.: 38.2%		unreviewed	Crenarchaeota archaeon 13_1_40CM_3_53_5	1805098
A0A1Q8A9I2	E-value: 3.8E-72;	Score: 605;	Ident.: 38.2%		unreviewed	archaeon 13_1_20CM_2_54_9	1805008
A0A084SI31	E-value: 43E-72;	Score: 598;	Ident.: 40.3%		unreviewed	Archangium violaceum Cb vi76	1406225
A0A0B5ICW7	E-value: 48E-72;	Score: 596;	Ident.: 42.1%		unreviewed	Streptomyces vietnamensis	362257
L1KKM7	E-value: 120E-72;	Score: 593;	Ident.: 39.3%		unreviewed	Streptomyces ipomoeae 91-03	698759
A0A250J287	E-value: 190E-72;	Score: 593;	Ident.: 38.9%		unreviewed	Cystobacter fuscus	43
A0A2G1XLS6	E-value: 480E-72;	Score: 589;	Ident.: 40.9%		unreviewed	Streptomyces cinnamoneus (Streptoverticillium cinnamoneum)	53446
L7EQK5	E-value: 580E-72;	Score: 590;	Ident.: 42.0%		unreviewed	Streptomyces turgidiscabies Car8	698760
L7U7N2	E-value: 580E-72;	Score: 590;	Ident.: 40.1%		unreviewed	Myxococcus stipitatus (strain DSM 14675 / JCM 12634 / Mx s8)	1278073
A0A090AV58	E-value: 580E-72;	Score: 590;	Ident.: 42.0%		unreviewed	Streptomyces turgidiscabies	85558
L8NYB8	E-value: 610E-72;	Score: 589;	Ident.: 39.4%		unreviewed	Streptomyces viridochromogenes Tue57	1160705
A0A2V1NY08	E-value: 1.9E-69;	Score: 585;	Ident.: 39.3%		unreviewed	Streptomyces sp. V2	1424099
A0A142XQD4	E-value: 2.1E-69;	Score: 587;	Ident.: 38.8%		unreviewed	Gemmata sp. SH-PL17	1630693
A0A1I0KJL3	E-value: 2.3E-69;	Score: 586;	Ident.: 40.3%		unreviewed	Myxococcus fulvus	33
A0A1H3LVL6	E-value: 5.9E-69;	Score: 584;	Ident.: 37.5%		unreviewed	Thermoactinomyces sp. DSM 45892	1882753
A0A2T0YPI9	E-value: 14E-69;	Score: 582;	Ident.: 38.1%		unreviewed	Laceyella sediminis	573074
A0A0F7E4S1	E-value: 18E-69;	Score: 580;	Ident.: 39.3%		unreviewed	Myxococcus fulvus 124B02	1334629
A9AUK4	E-value: 23E-69;	Score: 580;	Ident.: 37.9%		unreviewed	Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785)	316274
A0A2Z3GTJ9	E-value: 33E-69;	Score: 579;	Ident.: 38.0%		unreviewed	Gemmata obscuriglobus	114
A0A2I7SU60	E-value: 38E-69;	Score: 579;	Ident.: 38.1%		unreviewed	Laceyella sp. FBKL4.010	2071623
A0A1Q7QTX6	E-value: 41E-69;	Score: 578;	Ident.: 36.5%		unreviewed	archaeon 13_1_40CM_2_52_13	1805013
A0A1Q7ZSD4	E-value: 41E-69;	Score: 578;	Ident.: 36.5%		unreviewed	archaeon 13_1_20CM_2_51_12	1805007
A0A1Q7IEE1	E-value: 58E-69;	Score: 577;	Ident.: 37.6%		unreviewed	archaeon 13_1_40CM_4_53_4	1805017
A0A1Q6Z6W5	E-value: 58E-69;	Score: 577;	Ident.: 37.6%		unreviewed	archaeon 13_2_20CM_2_53_6	1805020
A0A1Q6ZTC5	E-value: 65E-69;	Score: 577;	Ident.: 38.6%		unreviewed	Ktedonobacter sp. 13_2_20CM_2_56_8	1805232
A0A0N0Y8Y6	E-value: 75E-69;	Score: 577;	Ident.: 37.8%		unreviewed	Thermoactinomyces vulgaris	2026
A0A1Q7BAQ5	E-value: 82E-69;	Score: 576;	Ident.: 36.3%		unreviewed	archaeon 13_2_20CM_2_52_21	1805019
A0A1K1YZR3	E-value: 92E-69;	Score: 576;	Ident.: 37.2%		unreviewed	Thermoactinomyces sp. DSM 45891	1761907
A0A1Q8B699	E-value: 120E-69;	Score: 575;	Ident.: 36.8%		unreviewed	Crenarchaeota archaeon 13_1_20CM_2_51_8	1805093
A0A1I3HRV3	E-value: 140E-69;	Score: 575;	Ident.: 39.1%		unreviewed	Paenibacillus sp. UNC496MF	1502753
A0A1Q7P375	E-value: 230E-69;	Score: 573;	Ident.: 37.0%		unreviewed	Crenarchaeota archaeon 13_1_40CM_2_52_14	1805092
A0A1Q7MQN9	E-value: 230E-69;	Score: 573;	Ident.: 37.0%		unreviewed	Crenarchaeota archaeon 13_1_40CM_3_52_17	1805096
A0A1Q7SSQ2	E-value: 270E-69;	Score: 573;	Ident.: 38.3%		unreviewed	Ktedonobacter sp. 13_1_20CM_4_53_7	1805226
A0A1Q6Y6D5	E-value: 270E-69;	Score: 573;	Ident.: 38.3%		unreviewed	Ktedonobacter sp. 13_2_20CM_53_11	1805233
A0A1Q6XSY3	E-value: 330E-69;	Score: 572;	Ident.: 36.3%		unreviewed	Ktedonobacter sp. 13_2_20CM_53_11	1805233
A0A1N7PR84	E-value: 630E-69;	Score: 571;	Ident.: 37.0%		unreviewed	Kroppenstedtia eburnea	714067
A0A1Q7X141	E-value: 630E-69;	Score: 571;	Ident.: 40.3%		unreviewed	Actinobacteria bacterium 13_1_20CM_3_68_9	1803475
A0A2T6C993	E-value: 660E-69;	Score: 571;	Ident.: 37.3%		unreviewed	Melghirimyces profundicolus	1242148
F5SDY7	E-value: 1.0E-66;	Score: 571;	Ident.: 37.0%		unreviewed	Desmospora sp. 8437	997346
A0A0E3GLX0	E-value: 1.5E-66;	Score: 569;	Ident.: 36.9%		unreviewed	uncultured bacterium AZ_379	1630015
K4Z894	E-value: 6.4E-66;	Score: 564;	Ident.: 37.9%		unreviewed	Paenibacillus alvei DSM 29	1206781
A0A0D7KR45	E-value: 6.4E-66;	Score: 564;	Ident.: 37.9%		unreviewed	Paenibacillus sp. E194	1458845
S9UFF4	E-value: 6.4E-66;	Score: 564;	Ident.: 37.9%		unreviewed	Paenibacillus alvei TS-15	1117108
A0A1B8UNC4	E-value: 6.4E-66;	Score: 564;	Ident.: 37.9%		unreviewed	Paenibacillus sp. KS1	1849249
A0A1E1VRJ9	E-value: 9.0E-66;	Score: 563;	Ident.: 37.9%		unreviewed	Paenibacillus sp. NAIST15-1	1605994
A0A1G7IDM6	E-value: 9.0E-66;	Score: 563;	Ident.: 37.9%		unreviewed	Paenibacillus sp. cl6col	1761878
A0A2N5KCJ9	E-value: 10E-66;	Score: 563;	Ident.: 38.3%		unreviewed	Chloroflexi bacterium	2026724
A0A235B6C2	E-value: 13E-66;	Score: 562;	Ident.: 36.5%		unreviewed	Paludifilum halophilum	1642702
A0A074LJ44	E-value: 15E-66;	Score: 561;	Ident.: 35.8%		unreviewed	Anditalea andensis	1048983
A0A094JNN2	E-value: 20E-66;	Score: 561;	Ident.: 37.0%		unreviewed	Thermoactinomyces sp. Gus2-1	1535750
A0A151YYS3	E-value: 20E-66;	Score: 561;	Ident.: 37.0%		unreviewed	Thermoactinomyces sp. AS95	1811386
A0A2P6WCL2	E-value: 20E-66;	Score: 560;	Ident.: 35.8%		unreviewed	Acidobacteria bacterium	1978231
A0A1F2XPK6	E-value: 45E-66;	Score: 558;	Ident.: 38.1%		unreviewed	Actinobacteria bacterium RBG_16_68_12	1797203
A0A2W4GKZ9	E-value: 50E-66;	Score: 558;	Ident.: 37.8%		unreviewed	Paenibacillus dendritiformis	130049
S9STN4	E-value: 50E-66;	Score: 558;	Ident.: 35.9%		unreviewed	Paenibacillus alvei TS-15	1117108
H3SI91	E-value: 50E-66;	Score: 558;	Ident.: 37.8%		unreviewed	Paenibacillus dendritiformis C454	1131935
A0A0D7KL16	E-value: 160E-66;	Score: 555;	Ident.: 35.6%		unreviewed	Paenibacillus sp. E194	1458845
A0A2H3KN16	E-value: 250E-66;	Score: 553;	Ident.: 38.7%		unreviewed	Candidatus Chloroploca asiatica	1506545
A0A2V2RPY6	E-value: 270E-66;	Score: 552;	Ident.: 36.4%		unreviewed	Acidobacteria bacterium	1978231
A0A2H5XWU5	E-value: 310E-66;	Score: 553;	Ident.: 37.6%		unreviewed	bacterium HR20	2035415
A0A1Y0IMB2	E-value: 500E-66;	Score: 551;	Ident.: 35.4%		unreviewed	Tumebacillus avium	1903704
M9LJC7	E-value: 560E-66;	Score: 551;	Ident.: 37.0%		unreviewed	Paenibacillus popilliae ATCC 14706	1212764
A0A0P6YIT7	E-value: 570E-66;	Score: 551;	Ident.: 37.9%		unreviewed	Herpetosiphon geysericola	70996
A0A2U3DCG1	E-value: 950E-66;	Score: 550;	Ident.: 37.7%		unreviewed	Acidibacillus sulfuroxidans	1765684
A0A1H2R6J1	E-value: 1.1E-63;	Score: 549;	Ident.: 37.4%		unreviewed	Paenibacillus sp. CF384	1884382
A0A2T2U0K3	E-value: 1.5E-63;	Score: 549;	Ident.: 35.3%		unreviewed	Bacteroidetes bacterium QS_3_64_15	1919105
A0A1I6RUP7	E-value: 1.6E-63;	Score: 548;	Ident.: 37.4%		unreviewed	Paenibacillus sp. BC26	1881032
A0A223CXT9	E-value: 1.6E-63;	Score: 548;	Ident.: 34.8%		unreviewed	Tumebacillus algifaecis	1214604
A9B1W0	E-value: 1.7E-63;	Score: 548;	Ident.: 37.3%		unreviewed	Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785)	316274
D6U2C7	E-value: 2.0E-63;	Score: 547;	Ident.: 36.1%		unreviewed	Ktedonobacter racemifer DSM 44963	485913
A0A1H8DDG7	E-value: 2.3E-63;	Score: 547;	Ident.: 36.4%		unreviewed	Lihuaxuella thermophila	1173111
